date,category,amount,description
2022-10-11,Entertainment,77.61,Streaming subscription
2022-10-12,Food,19.15,Farmers market
2022-10-13,Food,62.08,Takeout lunch
2022-10-14,Utilities,222.4,Electricity bill
2022-10-15,Transport,36.48,Car maintenance
2022-10-16,Utilities,147.56,Gas bill
2022-10-17,Other,32.93,Personal care items
2022-10-18,Food,85.29,Takeout lunch
2022-10-19,Transport,10.53,Parking fees
2022-10-20,Transport,58.0,Uber ride
2022-10-21,Food,43.33,Grocery shopping
2022-10-22,Other,35.05,Office supplies
2022-10-23,Transport,10.27,Gas
2022-10-24,Food,73.84,Farmers market
2022-10-25,Entertainment,54.16,Movie tickets
2022-10-26,Utilities,254.47,Water bill
2022-10-27,Entertainment,19.14,Video games
2022-10-28,Transport,78.63,Uber ride
2022-10-29,Utilities,249.04,Gas bill
2022-10-30,Transport,52.86,Car maintenance
2022-10-31,Food,48.25,Takeout lunch
2022-11-01,Food,22.45,Takeout lunch
2022-11-02,Food,80.56,Coffee and snacks
2022-11-03,Other,173.79,Personal care items
2022-11-04,Other,81.67,Clothing purchase
2022-11-05,Utilities,62.6,Gas bill
2022-11-06,Entertainment,118.67,Books
2022-11-07,Utilities,218.63,Internet bill
2022-11-08,Entertainment,47.37,Movie tickets
2022-11-09,Food,18.22,Grocery shopping
2022-11-10,Utilities,206.07,Gas bill
2022-11-11,Other,142.13,Home decor
2022-11-12,Utilities,99.72,Electricity bill
2022-11-13,Transport,11.47,Parking fees
2022-11-14,Entertainment,42.24,Concert tickets
2022-11-15,Other,135.97,Personal care items
2022-11-16,Entertainment,103.85,Streaming subscription
2022-11-17,Transport,71.84,Car maintenance
2022-11-18,Entertainment,135.73,Movie tickets
2022-11-19,Other,130.2,Personal care items
2022-11-20,Utilities,280.09,Water bill
2022-11-21,Transport,13.12,Public transport pass
2022-11-22,Food,64.26,Farmers market
2022-11-23,Utilities,219.08,Electricity bill
2022-11-24,Food,67.91,Coffee and snacks
2022-11-25,Food,90.99,Coffee and snacks
2022-11-26,Transport,41.13,Car maintenance
2022-11-27,Entertainment,144.03,Concert tickets
2022-11-28,Other,157.44,Office supplies
2022-11-29,Utilities,55.33,Electricity bill
2022-11-30,Entertainment,98.63,Concert tickets
2022-12-01,Utilities,189.3,Phone bill
2022-12-02,Food,26.1,Restaurant dinner
2022-12-03,Transport,22.3,Gas
2022-12-04,Entertainment,74.29,Video games
2022-12-05,Utilities,126.72,Phone bill
2022-12-06,Other,175.35,Clothing purchase
2022-12-07,Entertainment,90.3,Streaming subscription
2022-12-08,Entertainment,45.04,Books
2022-12-09,Utilities,230.01,Water bill
2022-12-10,Transport,34.64,Car maintenance
2022-12-11,Entertainment,71.98,Concert tickets
2022-12-12,Transport,39.39,Public transport pass
2022-12-13,Entertainment,18.84,Books
2022-12-14,Other,78.95,Home decor
2022-12-15,Utilities,137.47,Water bill
2022-12-16,Transport,44.72,Gas
2022-12-17,Entertainment,11.02,Streaming subscription
2022-12-18,Entertainment,16.84,Movie tickets
2022-12-19,Utilities,61.52,Phone bill
2022-12-20,Other,21.42,Gift for friend
2022-12-21,Other,160.71,Office supplies
2022-12-22,Other,5.57,Office supplies
2022-12-23,Utilities,182.4,Gas bill
2022-12-24,Transport,72.16,Car maintenance
2022-12-25,Food,49.96,Grocery shopping
2022-12-26,Other,182.49,Clothing purchase
2022-12-27,Entertainment,15.06,Books
2022-12-28,Utilities,238.0,Water bill
2022-12-29,Entertainment,25.75,Movie tickets
2022-12-30,Entertainment,149.51,Concert tickets
2022-12-31,Utilities,295.85,Water bill
2023-01-01,Entertainment,26.66,Movie tickets
2023-01-02,Other,123.82,Home decor
2023-01-03,Utilities,177.74,Water bill
2023-01-04,Utilities,165.31,Internet bill
2023-01-05,Utilities,160.73,Internet bill
2023-01-06,Food,79.04,Grocery shopping
2023-01-07,Transport,50.61,Parking fees
2023-01-08,Food,70.59,Restaurant dinner
2023-01-09,Transport,26.91,Public transport pass
2023-01-10,Utilities,112.86,Electricity bill
2023-01-11,Utilities,88.44,Phone bill
2023-01-12,Food,47.24,Farmers market
2023-01-13,Utilities,175.06,Electricity bill
2023-01-14,Transport,8.82,Uber ride
2023-01-15,Food,97.46,Takeout lunch
2023-01-16,Food,33.08,Restaurant dinner
2023-01-17,Transport,77.16,Public transport pass
2023-01-18,Entertainment,45.55,Streaming subscription
2023-01-19,Transport,36.65,Public transport pass
2023-01-20,Food,53.34,Takeout lunch
2023-01-21,Food,23.18,Restaurant dinner
2023-01-22,Entertainment,127.35,Streaming subscription
2023-01-23,Food,84.49,Farmers market
2023-01-24,Transport,19.66,Gas
2023-01-25,Food,32.45,Takeout lunch
2023-01-26,Food,76.2,Takeout lunch
2023-01-27,Utilities,117.77,Internet bill
2023-01-28,Utilities,188.39,Gas bill
2023-01-29,Transport,78.68,Car maintenance
2023-01-30,Other,77.13,Office supplies
2023-01-31,Food,69.59,Restaurant dinner
2023-02-01,Food,65.34,Farmers market
2023-02-02,Food,76.29,Grocery shopping
2023-02-03,Other,46.18,Personal care items
2023-02-04,Other,12.8,Personal care items
2023-02-05,Utilities,131.7,Phone bill
2023-02-06,Utilities,51.57,Water bill
2023-02-07,Food,38.79,Takeout lunch
2023-02-08,Utilities,123.05,Phone bill
2023-02-09,Food,55.66,Takeout lunch
2023-02-10,Other,111.24,Personal care items
2023-02-11,Utilities,240.95,Gas bill
2023-02-12,Entertainment,37.17,Video games
2023-02-13,Other,59.95,Clothing purchase
2023-02-14,Other,86.91,Clothing purchase
2023-02-15,Transport,18.0,Car maintenance
2023-02-16,Food,14.56,Grocery shopping
2023-02-17,Entertainment,148.53,Concert tickets
2023-02-18,Entertainment,93.12,Streaming subscription
2023-02-19,Other,14.32,Gift for friend
2023-02-20,Food,61.19,Takeout lunch
2023-02-21,Food,17.52,Takeout lunch
2023-02-22,Entertainment,130.34,Books
2023-02-23,Food,10.36,Takeout lunch
2023-02-24,Other,19.87,Office supplies
2023-02-25,Utilities,207.28,Internet bill
2023-02-26,Other,160.71,Clothing purchase
2023-02-27,Entertainment,80.91,Movie tickets
2023-02-28,Food,26.59,Farmers market
2023-03-01,Food,50.41,Takeout lunch
2023-03-02,Food,34.13,Takeout lunch
2023-03-03,Food,45.82,Grocery shopping
2023-03-04,Other,148.54,Personal care items
2023-03-05,Transport,61.2,Car maintenance
2023-03-06,Utilities,283.79,Internet bill
2023-03-07,Other,21.8,Clothing purchase
2023-03-08,Food,90.61,Takeout lunch
2023-03-09,Other,86.18,Office supplies
2023-03-10,Other,66.55,Gift for friend
2023-03-11,Entertainment,51.17,Streaming subscription
2023-03-12,Entertainment,71.83,Video games
2023-03-13,Entertainment,19.34,Streaming subscription
2023-03-14,Food,56.13,Grocery shopping
2023-03-15,Other,59.58,Office supplies
2023-03-16,Food,40.43,Restaurant dinner
2023-03-17,Utilities,51.91,Electricity bill
2023-03-18,Utilities,195.42,Internet bill
2023-03-19,Transport,46.34,Gas
2023-03-20,Transport,56.0,Gas
2023-03-21,Food,37.01,Takeout lunch
2023-03-22,Other,186.38,Gift for friend
2023-03-23,Transport,66.62,Parking fees
2023-03-24,Entertainment,98.47,Video games
2023-03-25,Other,117.29,Home decor
2023-03-26,Transport,74.66,Parking fees
2023-03-27,Transport,68.36,Uber ride
2023-03-28,Entertainment,35.43,Books
2023-03-29,Food,22.67,Farmers market
2023-03-30,Entertainment,15.39,Streaming subscription
2023-03-31,Transport,14.46,Car maintenance
2023-04-01,Utilities,146.68,Phone bill
2023-04-02,Other,82.82,Personal care items
2023-04-03,Food,18.13,Takeout lunch
2023-04-04,Food,83.99,Farmers market
2023-04-05,Entertainment,101.32,Streaming subscription
2023-04-06,Food,81.74,Grocery shopping
2023-04-07,Other,174.81,Personal care items
2023-04-08,Other,174.67,Office supplies
2023-04-09,Utilities,141.87,Phone bill
2023-04-10,Entertainment,148.41,Concert tickets
2023-04-11,Entertainment,16.54,Books
2023-04-12,Transport,18.28,Gas
2023-04-13,Other,67.06,Home decor
2023-04-14,Other,121.71,Home decor
2023-04-15,Food,30.86,Restaurant dinner
2023-04-16,Food,53.21,Restaurant dinner
2023-04-17,Utilities,131.31,Phone bill
2023-04-18,Entertainment,34.2,Movie tickets
2023-04-19,Food,77.06,Takeout lunch
2023-04-20,Entertainment,101.2,Movie tickets
2023-04-21,Utilities,182.85,Gas bill
2023-04-22,Transport,76.42,Parking fees
2023-04-23,Food,32.79,Restaurant dinner
2023-04-24,Other,85.48,Personal care items
2023-04-25,Utilities,204.99,Water bill
2023-04-26,Entertainment,106.39,Concert tickets
2023-04-27,Other,123.5,Personal care items
2023-04-28,Other,20.94,Clothing purchase
2023-04-29,Utilities,228.16,Phone bill
2023-04-30,Entertainment,138.84,Streaming subscription
2023-05-01,Entertainment,136.85,Video games
2023-05-02,Utilities,254.65,Water bill
2023-05-03,Other,154.35,Home decor
2023-05-04,Utilities,198.61,Gas bill
2023-05-05,Utilities,182.69,Internet bill
2023-05-06,Food,88.72,Coffee and snacks
2023-05-07,Food,39.47,Restaurant dinner
2023-05-08,Entertainment,117.96,Concert tickets
2023-05-09,Transport,76.69,Parking fees
2023-05-10,Utilities,118.11,Electricity bill
2023-05-11,Utilities,235.45,Gas bill
2023-05-12,Transport,29.48,Parking fees
2023-05-13,Food,63.51,Farmers market
2023-05-14,Other,136.99,Clothing purchase
2023-05-15,Entertainment,40.77,Video games
2023-05-16,Other,120.24,Personal care items
2023-05-17,Food,89.75,Restaurant dinner
2023-05-18,Entertainment,76.79,Movie tickets
2023-05-19,Food,21.49,Takeout lunch
2023-05-20,Transport,16.34,Public transport pass
2023-05-21,Transport,66.12,Uber ride
2023-05-22,Food,11.32,Farmers market
2023-05-23,Utilities,254.94,Electricity bill
2023-05-24,Transport,49.1,Gas
2023-05-25,Entertainment,11.72,Books
2023-05-26,Transport,45.25,Car maintenance
2023-05-27,Other,150.91,Gift for friend
2023-05-28,Transport,47.56,Gas
2023-05-29,Transport,10.74,Public transport pass
2023-05-30,Other,124.67,Home decor
2023-05-31,Other,105.26,Office supplies
2023-06-01,Entertainment,89.21,Video games
2023-06-02,Food,55.11,Takeout lunch
2023-06-03,Transport,43.68,Gas
2023-06-04,Other,122.44,Office supplies
2023-06-05,Food,15.23,Restaurant dinner
2023-06-06,Utilities,152.99,Internet bill
2023-06-07,Food,22.97,Grocery shopping
2023-06-08,Entertainment,123.94,Streaming subscription
2023-06-09,Entertainment,143.82,Streaming subscription
2023-06-10,Other,154.81,Personal care items
2023-06-11,Other,21.93,Gift for friend
2023-06-12,Other,71.33,Personal care items
2023-06-13,Other,110.13,Personal care items
2023-06-14,Entertainment,58.08,Books
2023-06-15,Entertainment,85.35,Video games
2023-06-16,Entertainment,112.92,Video games
2023-06-17,Entertainment,51.07,Video games
2023-06-18,Other,31.28,Clothing purchase
2023-06-19,Other,15.86,Gift for friend
2023-06-20,Other,117.25,Personal care items
2023-06-21,Other,41.16,Personal care items
2023-06-22,Food,67.65,Takeout lunch
2023-06-23,Entertainment,149.16,Books
2023-06-24,Utilities,148.98,Water bill
2023-06-25,Transport,16.13,Public transport pass
2023-06-26,Other,101.08,Personal care items
2023-06-27,Other,170.36,Clothing purchase
2023-06-28,Entertainment,84.65,Books
2023-06-29,Entertainment,122.86,Video games
2023-06-30,Entertainment,14.88,Streaming subscription
2023-07-01,Other,60.71,Gift for friend
2023-07-02,Other,97.15,Personal care items
2023-07-03,Food,95.85,Grocery shopping
2023-07-04,Other,12.07,Home decor
2023-07-05,Entertainment,61.97,Video games
2023-07-06,Transport,10.28,Public transport pass
2023-07-07,Utilities,221.49,Gas bill
2023-07-08,Utilities,279.34,Internet bill
2023-07-09,Other,111.74,Office supplies
2023-07-10,Entertainment,97.89,Streaming subscription
2023-07-11,Other,25.85,Home decor
2023-07-12,Transport,64.75,Parking fees
2023-07-13,Entertainment,21.05,Video games
2023-07-14,Entertainment,18.51,Movie tickets
2023-07-15,Other,181.54,Personal care items
2023-07-16,Utilities,59.28,Electricity bill
2023-07-17,Utilities,161.11,Phone bill
2023-07-18,Utilities,299.14,Phone bill
2023-07-19,Entertainment,31.1,Books
2023-07-20,Other,165.42,Clothing purchase
2023-07-21,Transport,19.81,Gas
2023-07-22,Food,50.77,Takeout lunch
2023-07-23,Entertainment,86.91,Books
2023-07-24,Transport,53.63,Car maintenance
2023-07-25,Utilities,55.05,Phone bill
2023-07-26,Transport,66.13,Uber ride
2023-07-27,Transport,67.58,Public transport pass
2023-07-28,Other,180.08,Clothing purchase
2023-07-29,Utilities,285.69,Water bill
2023-07-30,Food,22.69,Restaurant dinner
2023-07-31,Transport,20.15,Car maintenance
2023-08-01,Food,16.24,Grocery shopping
2023-08-02,Entertainment,78.8,Books
2023-08-03,Utilities,110.3,Phone bill
2023-08-04,Other,130.0,Home decor
2023-08-05,Food,38.76,Restaurant dinner
2023-08-06,Entertainment,68.68,Books
2023-08-07,Food,89.4,Farmers market
2023-08-08,Other,87.81,Office supplies
2023-08-09,Food,24.11,Takeout lunch
2023-08-10,Food,67.62,Farmers market
2023-08-11,Utilities,162.37,Electricity bill
2023-08-12,Transport,27.45,Uber ride
2023-08-13,Other,126.4,Clothing purchase
2023-08-14,Transport,13.02,Car maintenance
2023-08-15,Transport,14.25,Parking fees
2023-08-16,Transport,38.41,Car maintenance
2023-08-17,Transport,36.42,Public transport pass
2023-08-18,Entertainment,87.65,Video games
2023-08-19,Utilities,239.19,Gas bill
2023-08-20,Other,134.74,Clothing purchase
2023-08-21,Entertainment,102.06,Concert tickets
2023-08-22,Utilities,216.38,Electricity bill
2023-08-23,Utilities,254.79,Internet bill
2023-08-24,Entertainment,121.13,Streaming subscription
2023-08-25,Utilities,290.3,Internet bill
2023-08-26,Transport,77.81,Car maintenance
2023-08-27,Entertainment,127.22,Books
2023-08-28,Food,45.01,Coffee and snacks
2023-08-29,Food,61.92,Restaurant dinner
2023-08-30,Food,79.98,Grocery shopping
2023-08-31,Utilities,109.11,Gas bill
2023-09-01,Food,42.19,Restaurant dinner
2023-09-02,Entertainment,110.21,Books
2023-09-03,Entertainment,136.52,Books
2023-09-04,Transport,75.82,Public transport pass
2023-09-05,Entertainment,12.38,Streaming subscription
2023-09-06,Other,148.41,Clothing purchase
2023-09-07,Utilities,140.61,Phone bill
2023-09-08,Transport,36.47,Gas
2023-09-09,Entertainment,97.81,Books
2023-09-10,Transport,53.65,Car maintenance
2023-09-11,Food,92.96,Grocery shopping
2023-09-12,Utilities,269.56,Phone bill
2023-09-13,Transport,49.49,Public transport pass
2023-09-14,Transport,67.5,Parking fees
2023-09-15,Utilities,187.87,Water bill
2023-09-16,Entertainment,70.27,Concert tickets
2023-09-17,Food,39.22,Farmers market
2023-09-18,Utilities,106.32,Internet bill
2023-09-19,Entertainment,38.28,Movie tickets
2023-09-20,Food,13.07,Restaurant dinner
2023-09-21,Entertainment,44.52,Video games
2023-09-22,Transport,10.15,Gas
2023-09-23,Entertainment,33.23,Movie tickets
2023-09-24,Entertainment,140.87,Streaming subscription
2023-09-25,Entertainment,142.06,Movie tickets
2023-09-26,Entertainment,102.11,Books
2023-09-27,Entertainment,70.62,Concert tickets
